id,username,date,text,hashtags,geo
901312720762482688,ai3mcgrady,2017-08-26 05:17:52+00:00,I'm good... Hurricane Harvey where you at.... #browns4life @Fall Creek https://www.instagram.com/p/BYPrbfnFnly/,#browns4life,
901308419474432000,_ClutchCity,2017-08-26 05:00:47+00:00,Damn boys out here gettin shot in the hurricane.. yall be safe mayne,,
901307434299408384,Candystryps,2017-08-26 04:56:52+00:00,"Haha hurricane cookies!!! #hurricaneharvey #houston #food @le_bex @Spring, Texas https://www.instagram.com/p/BYPpBZhhpm-/",#hurricaneharvey #houston #food,
901304525943910400,kingeatgreedy,2017-08-26 04:45:19+00:00,My boy Troy!! #hurricane ready #Lol y'all aite over there???? We ain't even gettin no real #Rain… https://www.instagram.com/p/BYPns8VhcTP/,#hurricane #Lol #Rain,
901300493955289089,GwenandPecos,2017-08-26 04:29:17+00:00,"Nothing gets between me and my beauty rest, not even a hurricane. #hurricaneharvey… https://www.instagram.com/p/BYPl3ainj-q/",#hurricaneharvey,
901300493892366337,marcusbowerstv,2017-08-26 04:29:17+00:00,JUNE 2001 Hurricane Allison ... It flooded .. historically AUGUST 2005 Hurricane… https://www.instagram.com/p/BYPl3bTAg2g/,,
901298234299121665,Savillery,2017-08-26 04:20:19+00:00,"My hurricane Harvey kind of night!!!! #hurricaneharvey2017 #champagne @Pearland, Texas https://www.instagram.com/p/BYPk1z9gGqq/",#hurricaneharvey2017 #champagne,
901292637742800897,MrRossadillo,2017-08-26 03:58:04+00:00,Hurricane party update! 420 News World Headquarters#2 is ok and tomorrow it might be under water… https://www.instagram.com/p/BYPiSqIFDOx/,#2,
901290964643450880,cryswallbaby,2017-08-26 03:51:25+00:00,"Damn Hurricane Harvey, Hurricane Phil kicked our ass tonight!! I feel 5lbs lighter!! Yeeeesssss… https://www.instagram.com/p/BYPhiY_n_ym/",,
901289769732276224,Jaz_Wilson,2017-08-26 03:46:40+00:00,Hurricane Prep - Drinking a Houston Haze by @SpindleTap @Sarah's Treehouse —http://untp.beer/s/c495932469,,
901288191575117824,KarmaKolache,2017-08-26 03:40:24+00:00,We'll be open regular business hours during Hurricane Harvey. Be safe everyone! #karmakolache… https://www.instagram.com/p/BYPgRhnj-So/,#karmakolache,
901284264393814016,jasonevans,2017-08-26 03:24:48+00:00,"This is how we hurricane. : @mrgassy #happyharvey #harvey #hurricaneharvey @Houston, Texas https://www.instagram.com/p/BYPees-gcp-/",#happyharvey #harvey #hurricaneharvey,
901283798092046336,solikelee,2017-08-26 03:22:57+00:00,Sadie is settling in well for the Hurricane Harvey Party #dogsofinstagram #sadie #sleepyhead… https://www.instagram.com/p/BYPeRsgB4BE/,#dogsofinstagram #sadie #sleepyhead,
901281987515867136,peacelveaggie,2017-08-26 03:15:45+00:00,As Hurricane Harvey approaches and I lay in bed wondering how much… https://www.instagram.com/p/BYPddHIhoLQxU6HqYRUpnN5Iiw16oPX1Ro200M0/ …,,
